Categoria,Marca,Fornecedor Padrão,CodigoNFe,NumeroSerie,PesoKG,PesoLiquidoKG,Código Fornecedor Padrão,Nome,EAN (Codigo Barras),GrupoTributario,NCM,CFOP,Genero,EstoqueUnidade,Tamanho/Dimensões,PrecoCusto,TipoPrecoFixado,ValorPrecoFixado,DespesasFixas %,DespesasOperacionais %,Frete_Compra %,Seguro_Compra %,IPI_Compra %,Comissao,Comissao_Representacao %,ICMS_Compra,ICMSSTCompraPercentual,FCPSTCompraPercentual,Identificador,UnidadeComercial,SituacaoIPI,IPI_EnquadramentoLegal,AliquotaIPI,CEST,Prateleira,PrecoMinimoVenda,VisivelCatalogo,OcultarNasVendas,Categoria EXEMPLO,OrigemMercadoria,PlanoDeConta,CBenef,ProdutoPossuiUnidadeComercialDiferenteDeUnidadeTributaria,FatorDeConversaoUnidadeComercialParaTributavel,EAN_UnidadeTributavel,UnidadeTributavel_NFe,EstoqueCompra,EstoqueRisco,IgnorarEstoque,InformacoesAdicionais,Modelo,Validade,Vendido por Peso ou Unidade,CadastroInativo,Responsável Padrão Produção,Responsável Padrão Qualidade,Responsável Padrão Finalização,Grupo Informações Crédito Presumido
---,---,---,96,---,"0,00","0,00",---,ARREMATE MOLDURA GESSO CHAMPANHE 6MT,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"30,00",3 - Preço de Venda,"45,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85c4b4444bace91dc03idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,PURIMAX,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,39,---,"0,00","0,00",---,ARREMATE PVC H 6MT,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"18,00",3 - Preço de Venda,"30,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db6bidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,RICOZON,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,34,---,"0,00","0,00",---,ARREMATE PVC MOLDURA 6M STILI,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"16,00",3 - Preço de Venda,"25,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db45idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,SPRINGWAY,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,35,---,"0,00","0,00",---,ARREMATE PVC MOLDURA 7MT ECO PLAST STILLI,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"23,00",3 - Preço de Venda,"28,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db4cidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,TM,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,36,---,"0,00","0,00",---,ARREMATE PVC MOLDURA GESSO 6MT,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"19,00",3 - Preço de Venda,"30,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db54idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,46391339000167—CAROL MALHARIA,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,37,---,"0,00","0,00",---,ARREMATE PVC MOLDURA GESSO 7 ECO PLAST,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"18,00",3 - Preço de Venda,"30,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db5cidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,SIMPLES NACIONAL,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,38,---,"0,00","0,00",---,ARREMATE PVC U 6MT,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"12,00",3 - Preço de Venda,"20,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db63idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,00000000,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,9,---,"0,00","0,00",---,ARREMATE STILY 6MT ARMAMY,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"21,00",3 - Preço de Venda,"40,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db59idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01012100,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,7,---,"0,00","0,00",---,ARREMATE STILY 6MT IMBUIA,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"21,00",3 - Preço de Venda,"40,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db47idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01012900,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,82,---,"0,00","0,00",---,ARREMATE STILY 6MT PRETO,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"25,00",3 - Preço de Venda,"45,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db9didproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01013000,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,76,---,"0,00","0,00",---,ARREMATE STILY CEREJEIRA 6MT,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"22,00",3 - Preço de Venda,"38,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db6didproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01019000,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,68,---,"0,00","0,00",---,ARREMATE STILY TABACO 6MT,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"22,00",3 - Preço de Venda,"38,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db2fidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01022110,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,75,---,"0,00","0,00",---,ARREMATE TIPO F,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"12,00",3 - Preço de Venda,"24,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91db67idproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01022190,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,92,---,"0,00","0,00",---,ARREMATE TIPO GESSO 8MT,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"22,00",3 - Preço de Venda,"30,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85b4b4444bace91dbebidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01022911,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
---,---,---,61,---,"0,00","0,00",---,ARREMATE TIPO GESSO CEREJEIRA 6MT,---,SIMPLES NACIONAL,39162000,5102,00 – Mercadoria para Revenda,UN,---,"32,00",3 - Preço de Venda,"40,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",68dbd85c4b4444bace91dc1cidproduto,UN,Não Tributado Pelo IPI,,"0,00",---,---,"0,00",NÃO,NÃO,01022919,0 - Nacional,---,---,NÃO,"0,00000000000000000",0,UN,"0,00","0,00",NÃO,---,---,0,Venda por Unidade,NÃO,---,---,---,
